question,answer,class,user
What are my Workday login credentials?,"Workday has been single sign on enabled, so the login credentials would be your Bristlecone system login and password. <br><br> &#9673; User Name: FName.Lname.<br>&#9673;Password:  xxxx (your network password)",login,employee
login credentials,"Workday has been single sign on enabled, so the login credentials would be your Bristlecone system login and password. <br><br> &#9673; User Name: FName.Lname.<br>&#9673;Password:  xxxx (your network password)",login,employee
Where can I update my date of birth?,&#9733; Go to  View Profile  on the top right.<br><br>  &#9733;Go to  Personal  tab.  <br><br>&#9733;Edit Personal information,update,employee
Date of birth,&#9733; Go to  View Profile  on the top right.<br><br>  &#9733;Go to  Personal  tab.  <br><br>&#9733;Edit Personal information,update,employee
DOB,&#9733; Go to  View Profile  on the top right.<br><br>  &#9733;Go to  Personal  tab.  <br><br>&#9733;Edit Personal information,update,employee
update PAN,&#9733; Go to  View Profile  on the top right. <br><br> &#9733; Go to  Personal  tab <br><br> &#9733; Click on ID tab and select   Documents”.  <br><br> &#9733; To upload PAN & Aadhar select Document category as “Other Documents”,update,employee
PAN,&#9733; Go to  View Profile  on the top right. <br><br> &#9733; Go to  Personal  tab <br><br> &#9733; Click on ID tab and select  Change my Government ID ,update,employee
"Where can I update my PAN, Aadhar, UAN details?",&#9733; Go to  View Profile  on the top right. <br><br> &#9733; Go to  Personal  tab <br><br> &#9733; Click on ID tab and select  Change my Government ID ,update,employee
update Aadhar,&#9733; Go to  View Profile  on the top right. <br><br> &#9733; Go to  Personal  tab <br><br> &#9733; Click on ID tab and select  Change my Government ID ,update,employee
aadhar,&#9733; Go to  View Profile  on the top right. <br><br> &#9733; Go to  Personal  tab <br><br> &#9733; Click on ID tab and select  Change my Government ID ,update,employee
update UAN,&#9733; Go to  View Profile  on the top right. <br><br> &#9733; Go to  Personal  tab <br><br> &#9733; Click on ID tab and select  Change my Government ID ,update,employee
UAN,&#9733; Go to  View Profile  on the top right. <br><br> &#9733; Go to  Personal  tab <br><br> &#9733; Click on ID tab and select  Change my Government ID ,update,employee
Where can I upload my PAN & Aadhar card?,&#9733; Go to  View Profile  on the top right. <br><br> &#9733; Go to  Personal  tab. <br><br> &#9733; Click on ID tab and select  Documents . <br><br> &#9733; To upload PAN & Aadhar select Document category as  Other Documents ,upload,employee
upload PAN,&#9733; Go to  View Profile  on the top right. <br><br> &#9733; Go to  Personal  tab. <br><br> &#9733; Click on ID tab and select  Documents . <br><br> &#9733; To upload PAN & Aadhar select Document category as  Other Documents ,upload,employee
upload aadhar card,&#9733; Go to  View Profile  on the top right. <br><br> &#9733; Go to  Personal  tab. <br><br> &#9733; Click on ID tab and select  Documents . <br><br> &#9733; To upload PAN & Aadhar select Document category as  Other Documents ,upload,employee
Where can I update my Job History and Education details?,&#9733; Go to  View Profile  on the top right. <br><br> &#9733; Go to  Career  tab. <br><br> &#9733; Update Job History and Education Details,update,employee
job history,&#9733; Go to  View Profile  on the top right. <br><br> &#9733; Go to  Career  tab. <br><br> &#9733; Update Job History and Education Details,update,employee
education details,&#9733; Go to  View Profile  on the top right. <br><br> &#9733; Go to  Career  tab. <br><br> &#9733; Update Job History and Education Details,update,employee
update job history,&#9733; Go to  View Profile  on the top right. <br><br> &#9733; Go to  Career  tab. <br><br> &#9733; Update Job History and Education Details,update,employee
update education details,&#9733; Go to  View Profile  on the top right. <br><br> &#9733; Go to  Career  tab. <br><br> &#9733; Update Job History and Education Details,update,employee
Where can I add emergency contact details?,&#9733; Go to  View Profile  on the top right. <br><br> &#9733; Go to  Contact  tab. <br><br> &#9733; Update Emergency Contact details,add,employee
add emergency contact detail,&#9733; Go to  View Profile  on the top right. <br><br> &#9733; Go to  Contact  tab. <br><br> &#9733; Update Emergency Contact details,add,employee
emergency contact,&#9733; Go to  View Profile  on the top right. <br><br> &#9733; Go to  Contact  tab. <br><br> &#9733; Update Emergency Contact details,add,employee
How can I add my Bank Account details?,&#9733; Type  Add Payment election  in the search bar. <br><br> &#9733; Fill in the required details. ,add,employee
add bank account detail,&#9733; Type  Add Payment election  in the search bar. <br><br> &#9733; Fill in the required details. ,add,employee
bank account,&#9733; Type  Add Payment election  in the search bar. <br><br> &#9733; Fill in the required details. ,add,employee
Whom do I reach out to if I need any support on Workday?,"There is a specific email ID which has been created which you can write to, specifying your issue or query &#58<br><br> Workday.Support@bcone.com",reach out,employee
need help for workday,"There is a specific email ID which has been created which you can write to, specifying your issue or query &#58<br><br> Workday.Support@bcone.com",reach out,employee
support for workday,"There is a specific email ID which has been created which you can write to, specifying your issue or query &#58<br><br> Workday.Support@bcone.com",reach out,employee
support ,"There is a specific email ID which has been created which you can write to, specifying your issue or query &#58<br><br> Workday.Support@bcone.com",reach out,employee
How do I check my leave balance on workday?,"Workday uses the concept of time off and absence. The leaves as per our company leave policy has been divided under these headings as below:<br><br>&#9733;Time off comprises of all-purpose leaves and compensatory offs. <br><br> &#9733;Absence comprises of regulatory leaves such as maternity, paternity, adoption and sabbatical. <br><br> &#9733;Employee will have the option to request for leave of absence as well as request for return from leave of absence after joining back from the long leave. This is an important activity to end the on-leave status to active status for the employee on Workday.<br><br> &#9733; The leave details on Workday are in the unit of hours, this is in line with the integration with PPM Go to: <br><br>&#9673 Time Off <br><br> &#9673;  Request <br><br> &#9673;  time off <br><br> &#9673;  select dates <br><br> &#9673;  Request time off button",check,employee
leave balance,"Workday uses the concept of time off and absence. The leaves as per our company leave policy has been divided under these headings as below:<br><br>&#9733;Time off comprises of all-purpose leaves and compensatory offs. <br><br> &#9733;Absence comprises of regulatory leaves such as maternity, paternity, adoption and sabbatical. <br><br> &#9733;Employee will have the option to request for leave of absence as well as request for return from leave of absence after joining back from the long leave. This is an important activity to end the on-leave status to active status for the employee on Workday.<br><br> &#9733; The leave details on Workday are in the unit of hours, this is in line with the integration with PPM Go to: <br><br>&#9673 Time Off <br><br> &#9673;  Request <br><br> &#9673;  time off <br><br> &#9673;  select dates <br><br> &#9673;  Request time off button",check,employee
leave left,"Workday uses the concept of time off and absence. The leaves as per our company leave policy has been divided under these headings as below:<br><br>&#9733;Time off comprises of all-purpose leaves and compensatory offs. <br><br> &#9733;Absence comprises of regulatory leaves such as maternity, paternity, adoption and sabbatical. <br><br> &#9733;Employee will have the option to request for leave of absence as well as request for return from leave of absence after joining back from the long leave. This is an important activity to end the on-leave status to active status for the employee on Workday.<br><br> &#9733; The leave details on Workday are in the unit of hours, this is in line with the integration with PPM Go to: <br><br>&#9673 Time Off <br><br> &#9673;  Request <br><br> &#9673;  time off <br><br> &#9673;  select dates <br><br> &#9673;  Request time off button",check,employee
leave ,"Workday uses the concept of time off and absence. The leaves as per our company leave policy has been divided under these headings as below:<br><br>&#9733;Time off comprises of all-purpose leaves and compensatory offs. <br><br> &#9733;Absence comprises of regulatory leaves such as maternity, paternity, adoption and sabbatical. <br><br> &#9733;Employee will have the option to request for leave of absence as well as request for return from leave of absence after joining back from the long leave. This is an important activity to end the on-leave status to active status for the employee on Workday.<br><br> &#9733; The leave details on Workday are in the unit of hours, this is in line with the integration with PPM Go to: <br><br>&#9673 Time Off <br><br> &#9673;  Request <br><br> &#9673;  time off <br><br> &#9673;  select dates <br><br> &#9673;  Request time off button",check,employee
How to check my personal information on Workday?,"You can check your details by clicking on the cloud icon which represents  My Account  on the top right corner of the workday application. Now, click on view profile to access the page with tabs on employee information details. Further click on the link  Job  to access the information page.<br><br>Go to:  <br><br>&#9673;My account <br><br> &#9673;  view profile <br><br> &#9673;  Job",check,employee
my info,"You can check your details by clicking on the cloud icon which represents  My Account  on the top right corner of the workday application. Now, click on view profile to access the page with tabs on employee information details. Further click on the link  Job  to access the information page.<br><br>Go to:  <br><br>&#9673;My account <br><br> &#9673;  view profile <br><br> &#9673;  Job",check,employee
my details on workday,"You can check your details by clicking on the cloud icon which represents  My Account  on the top right corner of the workday application. Now, click on view profile to access the page with tabs on employee information details. Further click on the link  Job  to access the information page.<br><br>Go to:  <br><br>&#9673;My account <br><br> &#9673;  view profile <br><br> &#9673;  Job",check,employee
my details ,"You can check your details by clicking on the cloud icon which represents  My Account  on the top right corner of the workday application. Now, click on view profile to access the page with tabs on employee information details. Further click on the link  Job  to access the information page.<br><br>Go to:  <br><br>&#9673;My account <br><br> &#9673;  view profile <br><br> &#9673;  Job",check,employee
How to Refer a candidate?,Employees can refer candidates under the career worklet on the Home Page. Go to Home <br><br> &#9673;  Career <br><br> &#9673;  Refer a candidate <br><br> &#9673;  click ok,refer,employee
refer a person,Employees can refer candidates under the career worklet on the Home Page. Go to Home <br><br> &#9673;  Career <br><br> &#9673;  Refer a candidate <br><br> &#9673;  click ok,refer,employee
refer someone,Employees can refer candidates under the career worklet on the Home Page. Go to Home <br><br> &#9673;  Career <br><br> &#9673;  Refer a candidate <br><br> &#9673;  click ok,refer,employee
How to check my team members’ name(s)?,"All team related details shall be available on the Home page under My Team worklet, under Org Chart.<br><br> &#9673; Go to:<br><br>&#9673;  Home<br><br>&#9673; My team <br><br>&#9673;  My Org chart",check,employee
go through team memember,"All team related details shall be available on the Home page under My Team worklet, under Org Chart.<br><br> &#9673; Go to:<br><br>&#9673;  Home<br><br>&#9673; My team <br><br>&#9673;  My Org chart",check,employee
who are my team members,"All team related details shall be available on the Home page under My Team worklet, under Org Chart.<br><br> &#9673; Go to:<br><br>&#9673;  Home<br><br>&#9673; My team <br><br>&#9673;  My Org chart",check,employee
team members,"All team related details shall be available on the Home page under My Team worklet, under Org Chart.<br><br> &#9673; Go to:<br><br>&#9673;  Home<br><br>&#9673; My team <br><br>&#9673;  My Org chart",check,employee
who is in my team,"All team related details shall be available on the Home page under My Team worklet, under Org Chart.<br><br> &#9673; Go to:<br><br>&#9673;  Home<br><br>&#9673; My team <br><br>&#9673;  My Org chart",check,employee
What are Workday dashboards?,"&#9733; Workday has built in dashboards to provide intelligence and insights to managers.<br><br> &#9733; If you are a manager, you can access dashboards pertaining to recruitment, compensation and benefits and workforce planning on the home page.<br><br> &#9733; The insights would be as per the security setting for your role in Workday.",dashboard,employee
dashboard,"&#9733; Workday has built in dashboards to provide intelligence and insights to managers.<br><br> &#9733; If you are a manager, you can access dashboards pertaining to recruitment, compensation and benefits and workforce planning on the home page.<br><br> &#9733; The insights would be as per the security setting for your role in Workday.",dashboard,employee
What is the  Reports worklet that I see on the Home page?,"&#9733;Reports is a worklet which gives you access to generate reports for your team members, as per your data security access.<br><br> &#9733; Depending on the employee's role, the access to data is controlled by the security setting in Workday.",reports,employee
what is reports?,"&#9733;Reports is a worklet which gives you access to generate reports for your team members, as per your data security access.<br><br> &#9733; Depending on the employee's role, the access to data is controlled by the security setting in Workday.",reports,employee
reports,"&#9733;Reports is a worklet which gives you access to generate reports for your team members, as per your data security access.<br><br> &#9733; Depending on the employee's role, the access to data is controlled by the security setting in Workday.",reports,employee
Where do I update my contact details?,"You can either edit and update contact information through the  Personal Information  worklet on home page. Or, you can also edit the contact details by going to :<br><br> &#9673; My Account<br><br> &#9673; ViewProfile<br><br> &#9673; Contact",update,employee
update my number,"You can either edit and update contact information through the  Personal Information  worklet on home page. Or, you can also edit the contact details by going to :<br><br> &#9673; My Account<br><br> &#9673; ViewProfile<br><br> &#9673; Contact",update,employee
update address,"You can either edit and update contact information through the  Personal Information  worklet on home page. Or, you can also edit the contact details by going to :<br><br> &#9673; My Account<br><br> &#9673; ViewProfile<br><br> &#9673; Contact",update,employee
What are the different tabs I see under Job in my profile on Workday?,"When you go to View profile page under My Account, you will find information pertaining to you under the following headings: Summary - Shows your location and your manager details Job - Provides details under the below sub-headings : <br><br>&#9733;Job Details - Details your employee ID, Supervisory organization details (your reporting manager), role band, designation, employment type with Bristlecone, date of joining the company, current tenure with the company and the Work address . <br><br> &#9733; Organizations -Details your practice, cost centre, company entity you are part of, base location and supervisor details .<br><br> &#9673; Support Roles - Lists all the contact persons in your Workday support group belonging to HR, Compensation and Benefit, Payroll, Admin, Finance, recruitment, IT, RMO, L&D and PPM.<br><br> &#9673; Management Chain - Details of your reporting hierarchy. <br><br> &#9733;Worker history - Audit trail of all the business processes for your profile o Job History - Provides details of your job profile Contact - Lists the details of your contact information including emergency contact.<br><br> You also have the edit option to update these details.Personal - 1 .Personal Details - Lists your personal details. <br><br>  2 .IDs – Lists all your government ID details as per HR record. Provides access to edit/add details.<br><br>  3 .Documents - This tab gives you access to upload any supporting document required for updating ID changes.<br><br> &#9733;Time Off - Summary of your leave balance.<br><br> &#9733; Career Professional Profile - Includes your tenure and education details . <br><br> &#9733; Certifications - You can upload any training certification detail here. On submission it will reflect post approval from the reporting manager.<br><br> &#9733;Training - This tab lists all the trainings you have attended with details on date of completion and duration. You can also update the details by clicking on Add. This will reflect on approval from the reporting manager.<br><br> &#9733;Competencies - This is a work in progress and currently not active.ao",profile,employee
job profile ,"When you go to View profile page under My Account, you will find information pertaining to you under the following headings: Summary - Shows your location and your manager details Job - Provides details under the below sub-headings : <br><br>&#9733;Job Details - Details your employee ID, Supervisory organization details (your reporting manager), role band, designation, employment type with Bristlecone, date of joining the company, current tenure with the company and the Work address . <br><br> &#9733; Organizations -Details your practice, cost centre, company entity you are part of, base location and supervisor details .<br><br> &#9673; Support Roles - Lists all the contact persons in your Workday support group belonging to HR, Compensation and Benefit, Payroll, Admin, Finance, recruitment, IT, RMO, L&D and PPM.<br><br> &#9673; Management Chain - Details of your reporting hierarchy. <br><br> &#9733;Worker history - Audit trail of all the business processes for your profile o Job History - Provides details of your job profile Contact - Lists the details of your contact information including emergency contact.<br><br> You also have the edit option to update these details.Personal - 1 .Personal Details - Lists your personal details. <br><br>  2 .IDs – Lists all your government ID details as per HR record. Provides access to edit/add details.<br><br>  3 .Documents - This tab gives you access to upload any supporting document required for updating ID changes.<br><br> &#9733;Time Off - Summary of your leave balance.<br><br> &#9733; Career Professional Profile - Includes your tenure and education details . <br><br> &#9733; Certifications - You can upload any training certification detail here. On submission it will reflect post approval from the reporting manager.<br><br> &#9733;Training - This tab lists all the trainings you have attended with details on date of completion and duration. You can also update the details by clicking on Add. This will reflect on approval from the reporting manager.<br><br> &#9733;Competencies - This is a work in progress and currently not active.ao",profile,employee
What is the Worker history that I see under Actions in my profile?,"Worker history provides the complete trail of all the business processes like leave application, job changes, personal data update, training update etc. on your profile.",profile,employee
Worker history,"Worker history provides the complete trail of all the business processes like leave application, job changes, personal data update, training update etc. on your profile.",profile,employee
Where can I update training and certification details on Workday?,You can update the training and certification details under Career tab in your View profile page,update,employee
update training,You can update the training and certification details under Career tab in your View profile page,update,employee
update certificate,You can update the training and certification details under Career tab in your View profile page,update,employee
add my certificate,You can update the training and certification details under Career tab in your View profile page,update,employee
certificates,You can update the training and certification details under Career tab in your View profile page,update,employee
training,You can update the training and certification details under Career tab in your View profile page,update,employee
What is the Favorites worklet on home page for?,&#9673;This worklet lets you manage your frequently accessed report or task under one place. <br><br> &#9673;You can configure this worklet based on your requirement by clicking on the  Manage Favorites  icon on the top right side of the page.,favorite,employee
favorites,&#9673;This worklet lets you manage your frequently accessed report or task under one place. <br><br> &#9673;You can configure this worklet based on your requirement by clicking on the  Manage Favorites  icon on the top right side of the page.,favorite,employee
favorite,&#9673;This worklet lets you manage your frequently accessed report or task under one place. <br><br> &#9673;You can configure this worklet based on your requirement by clicking on the  Manage Favorites  icon on the top right side of the page.,favorite,employee
favourites,&#9673;This worklet lets you manage your frequently accessed report or task under one place. <br><br> &#9673;You can configure this worklet based on your requirement by clicking on the  Manage Favorites  icon on the top right side of the page.,favorite,employee
What are the Birthdays and Anniversary worklets for?,These worklets provide you the upcoming birthdays or work anniversaries of your team members. It summarizes information for the next two weeks.,worklets,employee
Birthdays of my team,These worklets provide you the upcoming birthdays or work anniversaries of your team members. It summarizes information for the next two weeks.,worklets,employee
anniversary of my team members,These worklets provide you the upcoming birthdays or work anniversaries of your team members. It summarizes information for the next two weeks.,worklets,employee
anniversary,These worklets provide you the upcoming birthdays or work anniversaries of your team members. It summarizes information for the next two weeks.,worklets,employee
birthday,These worklets provide you the upcoming birthdays or work anniversaries of your team members. It summarizes information for the next two weeks.,worklets,employee
What is a Workday Inbox,"Inbox, which you find when you click on My Account icon, is where you will find all the tasks awaiting action from you. For instance, any approval for action submitted by your team like leave request, training or certification detail update etc. All actioned tasks would automatically move to Archive under Inbox.",inbox,employee
inbox,"Inbox, which you find when you click on My Account icon, is where you will find all the tasks awaiting action from you. For instance, any approval for action submitted by your team like leave request, training or certification detail update etc. All actioned tasks would automatically move to Archive under Inbox.",inbox,employee
What are notifications?,"&#9673;Notifications are associated with business processes (task workflow) on Workday and get sent to the intended recipients and stakeholders for a particular task. <br><br> &#9673;Notifications are configured to be also received in your Bristlecones outlook email account, besides the Workday Account.",notification,employee
notification,"&#9673;Notifications are associated with business processes (task workflow) on Workday and get sent to the intended recipients and stakeholders for a particular task. <br><br> &#9673;Notifications are configured to be also received in your Bristlecones outlook email account, besides the Workday Account.",notification,employee
How do I delegate tasks on Workday?,You can delegate tasks from your Workday Inbox.,delegate,employee
insert tasks,You can delegate tasks from your Workday Inbox.,delegate,employee
How do I upload my profile photo on Workday?,You can upload photo through the Personal Information worklet on home page or through Actions under Personal data.<br><br>Go to: <br><br> &#9673;My Account<br><br> &#9673; View Profile<br><br> &#9673; Actions<br><br> &#9673; Personal Data,update,employee
upload my pic,You can upload photo through the Personal Information worklet on home page or through Actions under Personal data.<br><br>Go to: <br><br> &#9673;My Account<br><br> &#9673; View Profile<br><br> &#9673; Actions<br><br> &#9673; Personal Data,update,employee
upload my photo,You can upload photo through the Personal Information worklet on home page or through Actions under Personal data.<br><br>Go to: <br><br> &#9673;My Account<br><br> &#9673; View Profile<br><br> &#9673; Actions<br><br> &#9673; Personal Data,update,employee
change photo,You can upload photo through the Personal Information worklet on home page or through Actions under Personal data.<br><br>Go to: <br><br> &#9673;My Account<br><br> &#9673; View Profile<br><br> &#9673; Actions<br><br> &#9673; Personal Data,update,employee
add dp,You can upload photo through the Personal Information worklet on home page or through Actions under Personal data.<br><br>Go to: <br><br> &#9673;My Account<br><br> &#9673; View Profile<br><br> &#9673; Actions<br><br> &#9673; Personal Data,update,employee
How do I update my skills and experience detail?,Trainings and certifications details can be updated in Career tab under My Profile.<br><br> Go to: <br><br> &#9673;My Account<br><br> &#9673; View Profile<br><br> &#9673; Career,update,employee
